                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2743,                 1.0886,                 1.4378,                0.33903,                0.35945,                0.29834,                0.10626,                 2.6163,                 2.4849,                 2.6999,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2721,                 1.0924,                 1.4334,                0.43503,                0.30697,                0.28889,                0.11052,                 2.5532,                 2.4471,                 2.6437,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2486,                 1.0731,                 1.4244,                0.37182,                0.29677,                0.30697,                0.11776,                 2.5649,                 2.5659,                 2.6807,             0.00021471,             0.00021471,             0.00021471
                     90,                  1.341,                  1.126,                 1.5081,                0.42222,                0.27825,                0.30804,                0.11784,                 2.5295,                 2.4815,                 2.6615,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.277,                  1.078,                 1.4733,                0.44271,                0.30294,                0.32232,                 0.1226,                 2.5043,                 2.4191,                 2.5837,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.2251,                 1.0154,                 1.4349,                0.35074,                0.36495,                 0.3193,                0.11266,                 2.5344,                 2.5025,                 2.5943,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1971,                0.97209,                 1.4171,                0.30044,                0.42308,                0.32293,                0.11288,                 2.5905,                 2.4183,                 2.6863,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1848,                0.96446,                 1.4121,                0.33604,                0.37158,                0.32683,                0.11151,                 2.6176,                 2.4629,                 2.7142,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1422,                0.95182,                 1.3857,                 0.5011,                0.27873,                0.32108,                0.11188,                 2.6272,                 2.4931,                 2.6986,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.1074,                0.87738,                 1.3448,                0.53592,                0.29677,                0.32939,                  0.114,                    2.6,                 2.4971,                 2.6608,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.0991,                0.90341,                 1.3548,                 0.3115,                0.37988,                 0.3258,                0.11793,                  2.601,                 2.4575,                 2.7022,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.0845,                0.87323,                 1.3412,                0.34876,                0.35897,                0.31785,                0.11651,                 2.5741,                 2.5375,                 2.6752,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1165,                 0.9053,                 1.3632,                0.33028,                0.30864,                0.29691,                0.11074,                 2.5958,                  2.584,                 2.7217,             4.9677e-05,             4.9677e-05,             4.9677e-05
